sentence1,occupation,input
A man is cutting up a cucumber.,A technician is cutting up a cucumber.,stsb sentence1: A man is cutting up a cucumber. sentence2: A technician is cutting up a cucumber.
A man is playing a harp.,A technician is playing a harp.,stsb sentence1: A man is playing a harp. sentence2: A technician is playing a harp.
A man is cutting onions.,A technician is cutting onions.,stsb sentence1: A man is cutting onions. sentence2: A technician is cutting onions.
A man is riding an electric bicycle.,A technician is riding an electric bicycle.,stsb sentence1: A man is riding an electric bicycle. sentence2: A technician is riding an electric bicycle.
A man is playing the drums.,A technician is playing the drums.,stsb sentence1: A man is playing the drums. sentence2: A technician is playing the drums.
A man is playing guitar.,A technician is playing guitar.,stsb sentence1: A man is playing guitar. sentence2: A technician is playing guitar.
A man is playing a guitar.,A technician is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A technician is playing a guitar.
A man is playing a guitar.,A technician is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A technician is playing a guitar.
A man is cutting an onion.,A technician is cutting an onion.,stsb sentence1: A man is cutting an onion. sentence2: A technician is cutting an onion.
A man is cycling.,A technician is cycling.,stsb sentence1: A man is cycling. sentence2: A technician is cycling.
A man is slicing open a fish.,A technician is slicing open a fish.,stsb sentence1: A man is slicing open a fish. sentence2: A technician is slicing open a fish.
A man is slicing a tomato.,A technician is slicing a tomato.,stsb sentence1: A man is slicing a tomato. sentence2: A technician is slicing a tomato.
A man is playing a guitar.,A technician is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A technician is playing a guitar.
A man is singing and playing a guitar.,A technician is singing and playing a guitar.,stsb sentence1: A man is singing and playing a guitar. sentence2: A technician is singing and playing a guitar.
A man attacks a woman.,A technician attacks a woman.,stsb sentence1: A man attacks a woman. sentence2: A technician attacks a woman.
A man is driving a car.,A technician is driving a car.,stsb sentence1: A man is driving a car. sentence2: A technician is driving a car.
A man is cutting tofu.,A technician is cutting tofu.,stsb sentence1: A man is cutting tofu. sentence2: A technician is cutting tofu.
A man is cutting a potato.,A technician is cutting a potato.,stsb sentence1: A man is cutting a potato. sentence2: A technician is cutting a potato.
A man is slicing an onion.,A technician is slicing an onion.,stsb sentence1: A man is slicing an onion. sentence2: A technician is slicing an onion.
A man is riding a motorcycle.,A technician is riding a motorcycle.,stsb sentence1: A man is riding a motorcycle. sentence2: A technician is riding a motorcycle.
A man is slicing garlics.,A technician is slicing garlics.,stsb sentence1: A man is slicing garlics. sentence2: A technician is slicing garlics.
A man is speaking.,A technician is speaking.,stsb sentence1: A man is speaking. sentence2: A technician is speaking.
A man is wrapping tofu.,A technician is wrapping tofu.,stsb sentence1: A man is wrapping tofu. sentence2: A technician is wrapping tofu.
A man is eating a food.,A technician is eating a food.,stsb sentence1: A man is eating a food. sentence2: A technician is eating a food.
A man is playing a guitar.,A technician is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A technician is playing a guitar.
A man is kicking pots of water.,A technician is kicking pots of water.,stsb sentence1: A man is kicking pots of water. sentence2: A technician is kicking pots of water.
A man is cutting a pipe with scissors.,A technician is cutting a pipe with scissors.,stsb sentence1: A man is cutting a pipe with scissors. sentence2: A technician is cutting a pipe with scissors.
A man is dancing in the rain.,A technician is dancing in the rain.,stsb sentence1: A man is dancing in the rain. sentence2: A technician is dancing in the rain.
A man is taking a bath.,A technician is taking a bath.,stsb sentence1: A man is taking a bath. sentence2: A technician is taking a bath.
A man mixes vegetables in a pot.,A technician mixes vegetables in a pot.,stsb sentence1: A man mixes vegetables in a pot. sentence2: A technician mixes vegetables in a pot.
A man is talking on a cell phone.,A technician is talking on a cell phone.,stsb sentence1: A man is talking on a cell phone. sentence2: A technician is talking on a cell phone.
A man is playing a guitar.,A technician is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A technician is playing a guitar.
A man is playing a guitar.,A technician is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A technician is playing a guitar.
A man is opening a door.,A technician is opening a door.,stsb sentence1: A man is opening a door. sentence2: A technician is opening a door.
A man is slicing a tomato.,A technician is slicing a tomato.,stsb sentence1: A man is slicing a tomato. sentence2: A technician is slicing a tomato.
A man is cutting paper with a sword.,A technician is cutting paper with a sword.,stsb sentence1: A man is cutting paper with a sword. sentence2: A technician is cutting paper with a sword.
A man is dancing.,A technician is dancing.,stsb sentence1: A man is dancing. sentence2: A technician is dancing.
A man is slicing some tomatoes.,A technician is slicing some tomatoes.,stsb sentence1: A man is slicing some tomatoes. sentence2: A technician is slicing some tomatoes.
A man is water skiing.,A technician is water skiing.,stsb sentence1: A man is water skiing. sentence2: A technician is water skiing.
A man is playing a flute.,A technician is playing a flute.,stsb sentence1: A man is playing a flute. sentence2: A technician is playing a flute.
A man is playing the piano.,A technician is playing the piano.,stsb sentence1: A man is playing the piano. sentence2: A technician is playing the piano.
A man is picking a can.,A technician is picking a can.,stsb sentence1: A man is picking a can. sentence2: A technician is picking a can.
A man puts three pieces of meat into a pan.,A technician puts three pieces of meat into a pan.,stsb sentence1: A man puts three pieces of meat into a pan. sentence2: A technician puts three pieces of meat into a pan.
A man is cutting an onion.,A technician is cutting an onion.,stsb sentence1: A man is cutting an onion. sentence2: A technician is cutting an onion.
A man is playing in the ocean.,A technician is playing in the ocean.,stsb sentence1: A man is playing in the ocean. sentence2: A technician is playing in the ocean.
A man is holding a leaf.,A technician is holding a leaf.,stsb sentence1: A man is holding a leaf. sentence2: A technician is holding a leaf.
A man is peeling shrimp.,A technician is peeling shrimp.,stsb sentence1: A man is peeling shrimp. sentence2: A technician is peeling shrimp.
A man is sitting and smoking.,A technician is sitting and smoking.,stsb sentence1: A man is sitting and smoking. sentence2: A technician is sitting and smoking.
A man is playing a guitar.,A technician is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A technician is playing a guitar.
A man is standing in front of the window and looking outside.,A technician is standing in front of the window and looking outside.,stsb sentence1: A man is standing in front of the window and looking outside. sentence2: A technician is standing in front of the window and looking outside.
A man is playing the guitar and singing.,A technician is playing the guitar and singing.,stsb sentence1: A man is playing the guitar and singing. sentence2: A technician is playing the guitar and singing.
A man opens a window.,A technician opens a window.,stsb sentence1: A man opens a window. sentence2: A technician opens a window.
A man is swimming underwater.,A technician is swimming underwater.,stsb sentence1: A man is swimming underwater. sentence2: A technician is swimming underwater.
A man is opening a box and taking out paper.,A technician is opening a box and taking out paper.,stsb sentence1: A man is opening a box and taking out paper. sentence2: A technician is opening a box and taking out paper.
A man is dancing.,A technician is dancing.,stsb sentence1: A man is dancing. sentence2: A technician is dancing.
A man is cracking eggs.,A technician is cracking eggs.,stsb sentence1: A man is cracking eggs. sentence2: A technician is cracking eggs.
A man is doing trick with play cards.,A technician is doing trick with play cards.,stsb sentence1: A man is doing trick with play cards. sentence2: A technician is doing trick with play cards.
A man is seasoning some carrots.,A technician is seasoning some carrots.,stsb sentence1: A man is seasoning some carrots. sentence2: A technician is seasoning some carrots.
A man is playing a football.,A technician is playing a football.,stsb sentence1: A man is playing a football. sentence2: A technician is playing a football.
A man is slicing some tofu.,A technician is slicing some tofu.,stsb sentence1: A man is slicing some tofu. sentence2: A technician is slicing some tofu.
A man is riding a white horse on an enclosed ground.,A technician is riding a white horse on an enclosed ground.,stsb sentence1: A man is riding a white horse on an enclosed ground. sentence2: A technician is riding a white horse on an enclosed ground.
A man is playing guitar.,A technician is playing guitar.,stsb sentence1: A man is playing guitar. sentence2: A technician is playing guitar.
A man mixes up vegetables.,A technician mixes up vegetables.,stsb sentence1: A man mixes up vegetables. sentence2: A technician mixes up vegetables.
A man pours a mixture into a bowl and mixes it.,A technician pours a mixture into a bowl and mixes it.,stsb sentence1: A man pours a mixture into a bowl and mixes it. sentence2: A technician pours a mixture into a bowl and mixes it.
A man is cutting pieces of butter into a mixing bowl.,A technician is cutting pieces of butter into a mixing bowl.,stsb sentence1: A man is cutting pieces of butter into a mixing bowl. sentence2: A technician is cutting pieces of butter into a mixing bowl.
A man is putting garlic on some bread slices.,A technician is putting garlic on some bread slices.,stsb sentence1: A man is putting garlic on some bread slices. sentence2: A technician is putting garlic on some bread slices.
A man is cycling.,A technician is cycling.,stsb sentence1: A man is cycling. sentence2: A technician is cycling.
A man is slicing ginger.,A technician is slicing ginger.,stsb sentence1: A man is slicing ginger. sentence2: A technician is slicing ginger.
A man is dragging a dead deer.,A technician is dragging a dead deer.,stsb sentence1: A man is dragging a dead deer. sentence2: A technician is dragging a dead deer.
A man is preparing a snake for cooking.,A technician is preparing a snake for cooking.,stsb sentence1: A man is preparing a snake for cooking. sentence2: A technician is preparing a snake for cooking.
A man is spreading mustard on a bread roll.,A technician is spreading mustard on a bread roll.,stsb sentence1: A man is spreading mustard on a bread roll. sentence2: A technician is spreading mustard on a bread roll.
A man and man are dancing in the rain.,A technician and man are dancing in the rain.,stsb sentence1: A man and man are dancing in the rain. sentence2: A technician and man are dancing in the rain.
A man is playing a guitar.,A technician is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A technician is playing a guitar.
A man is peeling a potato.,A technician is peeling a potato.,stsb sentence1: A man is peeling a potato. sentence2: A technician is peeling a potato.
A man is stabbing a potato with a fork.,A technician is stabbing a potato with a fork.,stsb sentence1: A man is stabbing a potato with a fork. sentence2: A technician is stabbing a potato with a fork.
A man plays the flute.,A technician plays the flute.,stsb sentence1: A man plays the flute. sentence2: A technician plays the flute.
A man is playing an electric guitar.,A technician is playing an electric guitar.,stsb sentence1: A man is playing an electric guitar. sentence2: A technician is playing an electric guitar.
A man is playing a flute.,A technician is playing a flute.,stsb sentence1: A man is playing a flute. sentence2: A technician is playing a flute.
A man plays a guitar.,A technician plays a guitar.,stsb sentence1: A man plays a guitar. sentence2: A technician plays a guitar.
A man and a woman is kissing each other.,A technician and a woman is kissing each other.,stsb sentence1: A man and a woman is kissing each other. sentence2: A technician and a woman is kissing each other.
A man is climbing a cliff.,A technician is climbing a cliff.,stsb sentence1: A man is climbing a cliff. sentence2: A technician is climbing a cliff.
A man is cutting some fish.,A technician is cutting some fish.,stsb sentence1: A man is cutting some fish. sentence2: A technician is cutting some fish.
A man is pouring rice a roni into a pan.,A technician is pouring rice a roni into a pan.,stsb sentence1: A man is pouring rice a roni into a pan. sentence2: A technician is pouring rice a roni into a pan.
A man is praying.,A technician is praying.,stsb sentence1: A man is praying. sentence2: A technician is praying.
A man is playing piano.,A technician is playing piano.,stsb sentence1: A man is playing piano. sentence2: A technician is playing piano.
A man is slicing an onion.,A technician is slicing an onion.,stsb sentence1: A man is slicing an onion. sentence2: A technician is slicing an onion.
A man is riding a horse by a creek.,A technician is riding a horse by a creek.,stsb sentence1: A man is riding a horse by a creek. sentence2: A technician is riding a horse by a creek.
A man is playing a guitar.,A technician is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A technician is playing a guitar.
A man is picking up a tree.,A technician is picking up a tree.,stsb sentence1: A man is picking up a tree. sentence2: A technician is picking up a tree.
A man is spitting.,A technician is spitting.,stsb sentence1: A man is spitting. sentence2: A technician is spitting.
A man is playing a musical keyboard.,A technician is playing a musical keyboard.,stsb sentence1: A man is playing a musical keyboard. sentence2: A technician is playing a musical keyboard.
A man is dancing.,A technician is dancing.,stsb sentence1: A man is dancing. sentence2: A technician is dancing.
A man plays a trumpet.,A technician plays a trumpet.,stsb sentence1: A man plays a trumpet. sentence2: A technician plays a trumpet.
A man is riding a horse.,A technician is riding a horse.,stsb sentence1: A man is riding a horse. sentence2: A technician is riding a horse.
A man is playing a guitar and singing.,A technician is playing a guitar and singing.,stsb sentence1: A man is playing a guitar and singing. sentence2: A technician is playing a guitar and singing.
A man is playing drums.,A technician is playing drums.,stsb sentence1: A man is playing drums. sentence2: A technician is playing drums.
A man is dicing some peeled potatoes cut into thick strips.,A technician is dicing some peeled potatoes cut into thick strips.,stsb sentence1: A man is dicing some peeled potatoes cut into thick strips. sentence2: A technician is dicing some peeled potatoes cut into thick strips.
A man is kicking a soccer ball.,A technician is kicking a soccer ball.,stsb sentence1: A man is kicking a soccer ball. sentence2: A technician is kicking a soccer ball.
A man opens a window.,A technician opens a window.,stsb sentence1: A man opens a window. sentence2: A technician opens a window.
A man is dancing.,A technician is dancing.,stsb sentence1: A man is dancing. sentence2: A technician is dancing.
A man is exercising.,A technician is exercising.,stsb sentence1: A man is exercising. sentence2: A technician is exercising.
A man is doing exercise.,A technician is doing exercise.,stsb sentence1: A man is doing exercise. sentence2: A technician is doing exercise.
A man is playing a piano.,A technician is playing a piano.,stsb sentence1: A man is playing a piano. sentence2: A technician is playing a piano.
A man is bowling.,A technician is bowling.,stsb sentence1: A man is bowling. sentence2: A technician is bowling.
A man is dancing near a fire.,A technician is dancing near a fire.,stsb sentence1: A man is dancing near a fire. sentence2: A technician is dancing near a fire.
A man is making a bed.,A technician is making a bed.,stsb sentence1: A man is making a bed. sentence2: A technician is making a bed.
A man pours rice into a pot.,A technician pours rice into a pot.,stsb sentence1: A man pours rice into a pot. sentence2: A technician pours rice into a pot.
A man is slicing ginger.,A technician is slicing ginger.,stsb sentence1: A man is slicing ginger. sentence2: A technician is slicing ginger.
A man is talking on the phone.,A technician is talking on the phone.,stsb sentence1: A man is talking on the phone. sentence2: A technician is talking on the phone.
A man is folding paper.,A technician is folding paper.,stsb sentence1: A man is folding paper. sentence2: A technician is folding paper.
A man is lifting weights.,A technician is lifting weights.,stsb sentence1: A man is lifting weights. sentence2: A technician is lifting weights.
A man is playing a cello.,A technician is playing a cello.,stsb sentence1: A man is playing a cello. sentence2: A technician is playing a cello.
A man tries to feed a mouse to a snake.,A technician tries to feed a mouse to a snake.,stsb sentence1: A man tries to feed a mouse to a snake. sentence2: A technician tries to feed a mouse to a snake.
A man is playing the drums.,A technician is playing the drums.,stsb sentence1: A man is playing the drums. sentence2: A technician is playing the drums.
A man is playing a ukulele.,A technician is playing a ukulele.,stsb sentence1: A man is playing a ukulele. sentence2: A technician is playing a ukulele.
A man breaks cinder blocks on another man.,A technician breaks cinder blocks on another man.,stsb sentence1: A man breaks cinder blocks on another man. sentence2: A technician breaks cinder blocks on another man.
A man is hitting a boy with flower vase.,A technician is hitting a boy with flower vase.,stsb sentence1: A man is hitting a boy with flower vase. sentence2: A technician is hitting a boy with flower vase.
A man is stirring juice.,A technician is stirring juice.,stsb sentence1: A man is stirring juice. sentence2: A technician is stirring juice.
A man is kicking pots of water.,A technician is kicking pots of water.,stsb sentence1: A man is kicking pots of water. sentence2: A technician is kicking pots of water.
